Tweet_ID,Content,Date_Post
dante_02_1240808239224090112,"Tenho duas amigas doutorandas na USP. Não estão dormindo ou comendo direto.\n- Aqui não paramos, laboratórios fazendo análises e estudos. Tem  gente trabalhando, no Br inteiro\n- Só vamos parar quando nós ou alguém criar essa vacina.\n\nRespeitem a pesquisa brasileira, por gentileza.",2020-03-19
dante_02_1241121140988410112,"Senado: Promulgado artigo que protege IBGE, Embrapa e Fiocruz de contingenciamentos https://t.co/H9mRZBhIk9",2020-03-20
dante_02_1241825454539120128,ATENÇÃO: programem-se para a vacinação contra a gripe que começa amanhã (23). Vejam as datas e locais abaixo. E lembrem -se: sem criar aglomeração nos locais nem se agoniar. https://t.co/SyOnKEyMCN,2020-03-22
dante_02_1300918558067770112,Chega a ser inacreditável que o governo esteja fazendo campanha CONTRA a vacinação. Um verdadeiro crime contra a saúde pública e a vida.,2020-09-01
dante_02_1319042054463290112,"Como prefeito, vamos garantir através da Prefeitura de Belém o acesso de toda a população às vacinas que forem testadas e seguras. Isso é um compromisso em defesa da saúde e da vida. #covid19",2020-10-21
dante_02_1328772384585860096,"E reafirmando o compromisso de, como Prefeito, garantir vacina contra a covid-19, que tenha sido testada e seja segura. https://t.co/Nh4WgeOUP1",2020-11-17
dante_02_1329419704847490048,"Égua já pensaste?! Não sei se dá pra ser assim, ainda mais que estamos ainda em meio a pandemia. Mas quem sabe mais lá pra frente quando tivermos a vacina?! https://t.co/Mqef8dPosz",2020-11-19
dante_02_1336708026322050048,"A nota abaixo da Frente cobra do Ministério da Saúde um ""plano nacional de imunização, bem como a compra e distribuição de vacinas contra a covid-19.“ Isso é urgente. \n\n#EdmilsonPrefeito #OEdVoltou https://t.co/tAuiG832Sq",2020-12-09
dante_02_1338886573102860032,Vacina para todos já! O @psol50 está lançando essa importante  Plataforma da campanha: #VacinaJá. A plataforma tem um abaixo-assinado para apoio à campanha e com o intuito de pressionar o governo federal para viabilização da vacina contra a covid-19. \n\nhttps://t.co/VEZcFsrhKR,2020-12-15
dante_02_1339286679476120064,"O PSOL tentou garantir na votação da LDO a obrigação de que haja, em 2021, mais recursos para a compra e produção de vacinas, mas a base do governo na Câmara votou contra. Bolsonaro faz, portanto, apenas o que Paulo Guedes manda. Ambos negam a pandemia e priorizam os rentistas.",2020-12-16
dante_02_1324489670999360000,"Políticos esqueceram que ainda estamos vivendo uma pandemia, o vírus ainda está aí e a vacina não existe. No inicio de outubro os números começaram a crescer novamente de maneira importante. #Live #GustavoSefer",2020-11-05
dante_02_1249859616969760000,"O Núcleo de Operações e Inteligência em Saúde, que envolve PUC-Rio, Fiocruz, USP e outras instituições, estimam que no Brasil temos mais de 225 mil casos de Covid-19 subnotificados.\n\nNo Pará, estima-se que temos 2.330 casos subnotificados.\n\nPrecisamos de mais testes! https://t.co/hC2Xh79x0A",2020-04-13
dante_02_1264337707435800064,O combate ao Covid-19 não pode impedir a imunização das crianças. Mantenha o calendário de vacinação de seus filhos.,2020-05-23
