Tweet_ID,Post_Vaccine,Positions_Vac
dante_02_1240808239224090112,1,1.0
dante_02_1241121140988410112,0,
dante_02_1241825454539120128,0,
dante_02_1300918558067770112,1,1.0
dante_02_1319042054463290112,1,1.0
dante_02_1328772384585860096,1,1.0
dante_02_1329419704847490048,1,1.0
dante_02_1336708026322050048,1,1.0
dante_02_1338886573102860032,1,1.0
dante_02_1339286679476120064,1,1.0
dante_02_1324489670999360000,1,1.0
dante_02_1249859616969760000,0,
dante_02_1264337707435800064,0,
dante_02_1264337705753860096,0,
dante_02_1264337703941929984,0,
dante_02_1327332345381339904,0,
dante_02_1337117504943079936,1,1.0
dante_02_1339745099622830080,1,2.0
dante_02_1339745098033200128,1,1.0
dante_02_1339745096330259968,1,1.0
dante_02_1339745095264960000,1,2.0
dante_02_1339739145749619968,1,2.0
dante_02_1339739144281590016,1,1.0
dante_02_1319095468576610048,1,3.0
dante_02_1224753106480770048,0,
dante_02_1250855811267670016,1,1.0
dante_02_1281596895152960000,1,1.0
dante_02_1286258205472029952,1,2.0
dante_02_1289559283235840000,0,
dante_02_1292430427819510016,1,2.0
dante_02_1293984539086289920,1,1.0
dante_02_1298632749784470016,1,1.0
dante_02_1300901247835219968,1,1.0
dante_02_1301509931355470080,0,
dante_02_1305672682441110016,1,1.0
dante_02_1316133067610889984,0,
dante_02_1319053446729870080,1,1.0
dante_02_1319050766380910080,1,1.0
dante_02_1318919191295030016,1,1.0
dante_02_1319322955671879936,1,1.0
dante_02_1319768061034070016,1,1.0
dante_02_1320870065638670080,1,1.0
dante_02_1320870064321679872,1,1.0
dante_02_1321202513379529984,1,1.0
dante_02_1321595101320079872,0,
dante_02_1321510541337200128,1,1.0
dante_02_1321421463845530112,0,
dante_02_1325845612647079936,1,1.0
dante_02_1326249246023089920,1,1.0
dante_02_1326154302159719936,1,1.0
dante_02_1328786902267399936,1,1.0
dante_02_1329159945787460096,1,1.0
dante_02_1329515300937750016,0,
dante_02_1329514788569840128,0,
dante_02_1333920061007020032,1,1.0
dante_02_1334315583853260032,1,1.0
dante_02_1334564062030589952,1,1.0
dante_02_1336399627080349952,1,1.0
dante_02_1336780114059800064,1,1.0
dante_02_1336720084300130048,1,1.0
dante_02_1338665181371630080,1,1.0
dante_02_1338665079177400064,1,1.0
dante_02_1338604680868339968,1,1.0
dante_02_1339004815922370048,1,1.0
dante_02_1338863069745690112,1,1.0
dante_02_1338862868473629952,1,1.0
dante_02_1339322354535689984,1,1.0
dante_02_1339321637519429888,1,1.0
dante_02_1339295579529210112,1,1.0
dante_02_1339251362584989952,1,1.0
dante_02_1339744690900480000,1,1.0
dante_02_1339635983629819904,1,1.0
dante_02_1339609799684730112,1,1.0
dante_02_1340085626369159936,1,1.0
dante_02_1341090052655419904,1,1.0
dante_02_1341474050611300096,1,1.0
dante_02_1342869758878820096,1,1.0
dante_02_1343551681250909952,1,1.0
dante_02_1344636426990830080,1,1.0
