tweet_id,text,TRU,DIS,JOY,SAD,ANT,SUR,ANG,FEA,NEUTRAL,conf_tru_dis,conf_joy_sad,conf_ant_sur,conf_ang_fea,num_annot
446333972562591745l,enquanto isso #lame4 rs,0,0,-1,-1,0,0,0,0,-1,0.667,0.667,0.667,0.667,3
446341582183464960l,"PETR4 subiu na bolsa 13,50. Muito bem, surpreso com o resultado.",1,0,1,0,0,1,0,0,0,0.667,1.000,0.667,1.000,3
443844230512144385l,$LREN3 - Lojas Renner (lren-nm) - Ago - 17/04/2014 - 11h00 - Dividendos http://t.co/3PJlEQcEpB,0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
448105739962548224l,"vai, oibr4. um troux... ops... investidor precisa pagar as minhas férias.",0,1,0,1,0,0,1,0,0,0.667,0.667,0.667,0.667,3
446250331123773440l,$LREN3 - Lojas Renner (lren-nm) - Declaracao E Pagamento De Juros Sobre O Capital Proprio http://t.co/flXNxtpbT1,0,0,0,0,-1,-1,-2,-2,-1,0.667,0.667,0.667,0.333,3
448130972039385089l,Barriga para dentro em uma semana - http://t.co/jfzDpwhv9z,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
441307148849405952l,"05/03/14 - 17:20:Maiores Baixas: BRAP4 -4,50% R$20,35, RSID3 -4,09% R$1,64, VALE5 -3,50% R$28,07, CSNA3 -3,40% R$9,60, BRKM5 -3,28% R$15,62.",-2,-2,0,0,0,0,0,1,-1,0.000,0.667,0.667,0.667,3
450968336655208449l,$ELET3 - Eletrobras (elet-n1) - Esclarecimentos http://t.co/MtkZZZE6DE,0,0,0,0,0,0,-2,-2,-1,0.667,0.667,0.667,0.333,3
445987239869562880l,"R$13 ... que ironia hein ? ,) #PETR4",0,1,0,0,0,0,0,0,0,1.000,0.667,0.667,0.667,3
441030534467055617l,"Na #PETR4 fizemos na sexta passada uma Sub Onda 5 de fundo e no dia 05/02/14 uma Onda 3 de fundo alvos 15,44 16,40 http://t.co/5DPBQCulWr",-2,-2,-1,-1,0,0,-2,-2,-1,0.333,0.667,0.667,0.333,3
454715090777153537l,"11/04/14 - 17:18: Maiores Altas: KROT3 4,17% R$48,75, CPLE6 3,62% R$30,94, AEDU3 3,44% R$13,55, PETR4 2,93% R$16,14, ALLL3 2,90% R$8,31.",1,0,0,0,1,0,0,0,0,0.667,0.667,1.000,1.000,3
443207353077604352l,"RT @DenysonAnderson: Petrobras confirma precificação de títulos de US$8,5 bilhões: SÃO PAULO, 10 Mar (Reuters) - A Petrobras PETR4.... http…",0,0,-2,-2,0,1,0,0,-1,0.667,0.000,0.667,0.667,3
441233076748681216l,"'Salvação' da OGX e OSX pode estar à caminho, mais 5 empresas estão no radar: Nível do reser... http://t.co/WYotABlDa5 #infomoney #vale5",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.000,1.000,3
455817307626147841l,@webtraderx @BlackWizardX Vou dar uma olhada com calma depois das 9 da noite pelas Ondas de Elliot e fiquei te devendo da #PETR4,-2,-2,-2,-2,1,0,-2,-2,-1,0.333,0.333,0.667,0.333,3
445892374581886977l,Estratégia de Análise Técnica para o pregão de hoje. #analisetecnica #CIEL3  http://t.co/TgcPz0VU27,-2,-2,-2,-2,0,0,0,0,-1,0.333,0.333,0.667,0.667,3
449686405611274240l,"A LIGHT S.A. fechou o dia de hoje ao preço de R$ 18,65 (-1,37%) com volume de R$ 22,14 mm.
$LIGT3",0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
453519254193967104l,jbss3 cancela o gatilho.,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
455776463086559232l,E os CCs q estão liquidando minhas ações PETR4? @blogplanalto: Dilma ñ permitirá q se utilizem ações p/ tentar destruir imagem da @petrobras,-2,-2,-2,-2,0,0,-2,-2,-1,0.000,0.000,0.667,0.000,3
443500604250275840l,"Elétricas lideram altas e baixas com ajuda do governo, Vale renova mínima do ano: Ecorodovia... http://t.co/EkCKzePhxU #infomoney #vale5",-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
459743988757823488l,"@BorisBrianCasoy Petrobras PETR4 Lula capitalizou em 2010  a R$ 26,30. Últimos 6 meses...Março na bacia das almas! http://t.co/l00d2g2AtO",-2,-2,0,0,0,1,-2,-2,-1,0.333,0.667,0.667,0.333,3
441581046753419264l,#ecor3 segue seu caminho rsrsr,0,0,-2,-2,0,0,0,0,-1,0.667,0.333,0.667,0.667,3
466774485946101760l,$GOLL4 - GOL anuncia os resultados do 1T14 http://t.co/AVu5tnuZ96,0,0,0,0,0,0,0,0,1,0.667,1.000,0.667,0.667,3
449226702712225792l,"#petr4 Recompra: R$ 15,17. Hoje LAVEI A ÉGUA!",-2,-2,1,0,0,0,0,0,-1,0.000,0.667,1.000,0.667,3
450641609106161664l,"Rastreamento ações-Gráfico MENSAL-11h. Analise se romper: ITUB3 31,77 LAME4 16,85 MDIA3 92,20 PTBL3 5,04 PFRM3 21,53 RADL3 19,13 SMTO3 31,18",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
441997448626835456l,"FOI!!!  OBJ CUMPRIDO!!!! RT @Live_Trade: Quem lembra do Post '#Vale5 armando uma linda venda de diário?'  pois é 27,35 obj da queda.",-2,-2,-2,-2,0,0,-2,-2,-1,0.333,0.000,0.667,0.000,3
451528920463339520l,"@Bancotario Email. Dê uma olhada, por favor. #ELPL4",-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
448881198195294208l,"pô #PETR4 ... faça o favor de furar os R$14,40 de uma vez ! =)",0,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
441315359602143232l,"18 ações passam por 'ressaca' após carnaval e fecham em queda, Vale recua 3%: Mesmo com proj... http://t.co/GNveU1iOgh #infomoney #vale5",0,1,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
463384126381633536l,Plano de demissao voluntária na Petrobras já atrai 8mil… Depois vao reclamar que nao tem especialistas… petr4 virando OGX,0,1,0,0,0,1,0,1,0,1.000,0.667,1.000,0.667,3
445591854185451520l,"@ferrisss #pdgr3, vc dizia ia a 1,30. passou! errou tb! kk",0,0,1,0,-2,-2,0,0,-1,0.667,0.667,0.000,0.667,3
464089554719215617l,"Vale diz que acesso de Valemax à China é desejável, mas não necessário: Os navios, com capac... http://t.co/DUDYluUL6A #infomoney #vale5",-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
447047277907939328l,"#VALE5 é #VENDA  ? rsss #DEAL ! #DEAL !#DEAL ! ' 

'16 de março às 12:12 'após vencto das opções podem puxar na... http://t.co/4mOMj1Om7d",-2,-2,1,0,-2,-2,0,0,-1,0.333,0.667,0.333,1.000,3
443349486921068544l,“@picapautrader: #VALE5 traçando um fibo no gráfico diário da V5 a coisa tá feia... http://t.co/TealqJuGiz”,-1,-1,-1,-1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
450782647019524096l,"Remem para o Money: O melhor (e o pior) do Mercado Global no  primeiro...  petr4,vale5,opções,bovespa,ogxp3 http://t.co/EpwT6TzAmc",-2,-2,-2,-2,0,0,0,0,-1,0.333,0.333,0.667,0.667,3
469544912057552897l,LREN3 caindo bem...,0,0,0,0,0,0,0,0,1,0.667,0.667,1.000,1.000,3
441282953298337792l,"Vamos ver se mesmo em dia fraco, ganha alguma força ...RT @Live_Trade: #ecor3 fechando 15'  acima 12,53 já fica interessante",0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
443098557596598273l,VALE5 no topo das recomendações faz tempo e EU FORA!.. ô quem poderá nos defender?,0,0,0,1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
445610786636181504l,Ativo c/ vol Financeiro Superior à sua MM21-14h:  BBSE3 PINE4,1,0,0,0,1,0,0,0,0,1.000,0.667,0.667,1.000,3
458225692044705793l,"@Pardaldecastro  há fórum na net que vc pode entrar para aprender, basta cadastrar e não tenha vergonha de perguntar: http://t.co/aWBFGy2wQu",1,0,1,0,0,0,0,0,0,0.667,0.667,1.000,1.000,3
451811086929387520l,#MRFG3 (mensagem: 953403)  http://t.co/QZc5iN18om,-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
450654604569870336l,A última indicação da #MRVE3 resultou em -1.36 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7,0,0,0,1,0,0,0,0,0,0.667,0.667,1.000,1.000,3
453093825507233792l,RT @alexandradd25: Estou de férias e acordo cedo,-2,-2,0,1,0,1,0,0,-1,0.000,1.000,0.667,0.667,3
451439556626501632l,"Rastreamento ações-Gráfico diário-14h. Analise se romper:BRFS3 46,67 BRML3 19,81 BVMF3 11,20 CCRO3 17,73 CPFE3 19,13 CSMG3 36,79 ECOR3 13,87",0,0,0,0,0,0,0,0,1,1.000,0.667,1.000,0.667,3
456859339878588417l,Lame4 de olho,0,0,0,0,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
449251020879986688l,"RT @garimpodeacoes: Estatais em alta: Petrobrás ordinárias, +6,82%, Preferenciais, +6,45%, B.do Brasil, +6,96%, Elet3 +8,46% e Eletr 6, +4,…",1,0,0,0,-2,-2,0,0,-1,1.000,1.000,0.000,1.000,3
466742658090938368l,"@acoes_petr4 ME DOE 35 mil reais p eu comprar uma casa,estou desempregada e com nome sujo p eu dar uma vida digna as minhas filhas",0,0,0,1,0,0,0,1,0,0.667,1.000,0.667,0.667,3
444121049849139200l,"@Rivanews BRKM5 15min : com formação de pivot de alta, após divergência de alta no estocástico%k(12,3)",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.000,1.000,3
453227212003901442l,$CTIP3 - Cetip (ctip-nm)   Ago/e   28/04/2014   10h00   Distribuicao De Dividendo http://t.co/8E9tQwMP72,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
446681785486020609l,Elet3 minha linda!!! Hoje vou beber um@vinho pra comemorar!!!,1,0,1,0,1,0,0,0,0,0.667,1.000,0.667,1.000,3
464369509340430337l,"Acionistas votam hoje em fusão da ALL com Rumo, Santander, Petrobras e mais 6 no radar: Petr... http://t.co/PQ31oKjQ1m #infomoney #vale5",0,0,0,0,-2,-2,0,0,-1,0.667,1.000,0.000,1.000,3
459745055658745856l,"@Folhaovento Petrobras PETR4 - Lula capitalizou em 2010 a R$ 26,30. Últimos 6 meses...Março na bacia das almas! http://t.co/l00d2g2AtO",0,0,0,0,0,0,0,0,1,0.667,1.000,0.667,0.667,3
459342964020748288l,NATU3 caindo legal na bolsa hoje hein,0,1,-2,-2,0,1,0,1,-1,0.667,0.333,1.000,0.667,3
443546384562917376l,#PETR4 RT @valor_economico: Câmara derrota governo e aprova comissão para investigar Petrobras http://t.co/p37D1t2ARU,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
441989377636708352l,@bovespabrokers #BBAS3 pagando 11% ao ano...abaixo do VPA....parece ser interessante para longo prazo,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.000,1.000,3
471702597414690816l,"Organização Mundial de Saúde faz incentivo ao aumento dos impostos no tabaco para salvar mais vidas, efeito da notícia foi venda na #CRUZ3",1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
461138340071604224l,@clubedopairico No caso de PETR4 agora é acompanhar o fechamento de gap e entrar nas opções de venda. Ao meu ver...,1,0,0,0,-2,-2,0,0,-1,0.667,1.000,0.000,0.667,3
443749294697619456l,PETR4 e VALE5 em leve repique. Pouco ainda pra reverter o quadro. Vamos ver até onde vai.,-2,-2,-2,-2,1,0,0,0,-1,0.000,0.000,0.667,1.000,3
451813351711334400l,bonito ver o bradescão e o itaú brigando com o Morgan Stanley e o Credit Suiss no leilão final da ABEV3.,1,0,1,0,1,0,0,0,0,1.000,1.000,0.667,0.667,3
447488834431754240l,"Gatilho position, semana que vem:   Ativo bvmf3 - Venda  - Validade 28/mar - Start 9,75 - Stop 10,65 - RP 8,85 http://t.co/VwDCcrOD2H",-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
461502968475299840l,"TEMPO REAL: Ambev afunda 5% com nova taxação, Vale cai e Renner sobe após balanço: Ações da ... http://t.co/trsecneXgU #infomoney #vale5",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
