Tweet_ID,TRU,DIS,JOY,SAD,ANT,SUR,ANG,FEA,NEUTRAL,Conf_Tru_Dis,Conf_Joy_Sad,Conf_Ant_Sur,Conf_Ang_Fea,Num_Annot
dante_01_446333972562591745l,0,0,-1,-1,0,0,0,0,-1,0.667,0.667,0.667,0.667,3
dante_01_446341582183464960l,1,0,1,0,0,1,0,0,0,0.667,1.0,0.667,1.0,3
dante_01_443844230512144385l,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
dante_01_448105739962548224l,0,1,0,1,0,0,1,0,0,0.667,0.667,0.667,0.667,3
dante_01_446250331123773440l,0,0,0,0,-1,-1,-2,-2,-1,0.667,0.667,0.667,0.333,3
dante_01_448130972039385089l,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
dante_01_441307148849405952l,-2,-2,0,0,0,0,0,1,-1,0.0,0.667,0.667,0.667,3
dante_01_450968336655208449l,0,0,0,0,0,0,-2,-2,-1,0.667,0.667,0.667,0.333,3
dante_01_445987239869562880l,0,1,0,0,0,0,0,0,0,1.0,0.667,0.667,0.667,3
dante_01_441030534467055617l,-2,-2,-1,-1,0,0,-2,-2,-1,0.333,0.667,0.667,0.333,3
dante_01_454715090777153537l,1,0,0,0,1,0,0,0,0,0.667,0.667,1.0,1.0,3
dante_01_443207353077604352l,0,0,-2,-2,0,1,0,0,-1,0.667,0.0,0.667,0.667,3
dante_01_441233076748681216l,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
dante_01_455817307626147841l,-2,-2,-2,-2,1,0,-2,-2,-1,0.333,0.333,0.667,0.333,3
dante_01_445892374581886977l,-2,-2,-2,-2,0,0,0,0,-1,0.333,0.333,0.667,0.667,3
dante_01_449686405611274240l,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
dante_01_453519254193967104l,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
dante_01_455776463086559232l,-2,-2,-2,-2,0,0,-2,-2,-1,0.0,0.0,0.667,0.0,3
dante_01_443500604250275840l,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
dante_01_459743988757823488l,-2,-2,0,0,0,1,-2,-2,-1,0.333,0.667,0.667,0.333,3
dante_01_441581046753419264l,0,0,-2,-2,0,0,0,0,-1,0.667,0.333,0.667,0.667,3
dante_01_466774485946101760l,0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,0.667,3
dante_01_449226702712225792l,-2,-2,1,0,0,0,0,0,-1,0.0,0.667,1.0,0.667,3
dante_01_450641609106161664l,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
dante_01_441997448626835456l,-2,-2,-2,-2,0,0,-2,-2,-1,0.333,0.0,0.667,0.0,3
dante_01_451528920463339520l,-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
dante_01_448881198195294208l,0,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
dante_01_441315359602143232l,0,1,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
dante_01_463384126381633536l,0,1,0,0,0,1,0,1,0,1.0,0.667,1.0,0.667,3
dante_01_445591854185451520l,0,0,1,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
dante_01_464089554719215617l,-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
dante_01_447047277907939328l,-2,-2,1,0,-2,-2,0,0,-1,0.333,0.667,0.333,1.0,3
dante_01_443349486921068544l,-1,-1,-1,-1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
dante_01_450782647019524096l,-2,-2,-2,-2,0,0,0,0,-1,0.333,0.333,0.667,0.667,3
dante_01_469544912057552897l,0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,1.0,3
dante_01_441282953298337792l,0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
dante_01_443098557596598273l,0,0,0,1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
dante_01_445610786636181504l,1,0,0,0,1,0,0,0,0,1.0,0.667,0.667,1.0,3
dante_01_458225692044705793l,1,0,1,0,0,0,0,0,0,0.667,0.667,1.0,1.0,3
dante_01_451811086929387520l,-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
dante_01_450654604569870336l,0,0,0,1,0,0,0,0,0,0.667,0.667,1.0,1.0,3
dante_01_453093825507233792l,-2,-2,0,1,0,1,0,0,-1,0.0,1.0,0.667,0.667,3
dante_01_451439556626501632l,0,0,0,0,0,0,0,0,1,1.0,0.667,1.0,0.667,3
dante_01_456859339878588417l,0,0,0,0,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
dante_01_449251020879986688l,1,0,0,0,-2,-2,0,0,-1,1.0,1.0,0.0,1.0,3
dante_01_466742658090938368l,0,0,0,1,0,0,0,1,0,0.667,1.0,0.667,0.667,3
dante_01_444121049849139200l,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
dante_01_453227212003901442l,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
dante_01_446681785486020609l,1,0,1,0,1,0,0,0,0,0.667,1.0,0.667,1.0,3
dante_01_464369509340430337l,0,0,0,0,-2,-2,0,0,-1,0.667,1.0,0.0,1.0,3
dante_01_459745055658745856l,0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,0.667,3
dante_01_459342964020748288l,0,1,-2,-2,0,1,0,1,-1,0.667,0.333,1.0,0.667,3
dante_01_443546384562917376l,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
dante_01_441989377636708352l,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
dante_01_471702597414690816l,1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
dante_01_461138340071604224l,1,0,0,0,-2,-2,0,0,-1,0.667,1.0,0.0,0.667,3
dante_01_443749294697619456l,-2,-2,-2,-2,1,0,0,0,-1,0.0,0.0,0.667,1.0,3
dante_01_451813351711334400l,1,0,1,0,1,0,0,0,0,1.0,1.0,0.667,0.667,3
dante_01_447488834431754240l,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
dante_01_461502968475299840l,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
dante_01_453279716787912704l,0,0,-2,-2,0,1,0,0,-1,0.667,0.333,0.667,1.0,3
dante_01_446987129781243904l,0,0,0,0,0,0,0,0,1,0.75,0.75,0.5,0.75,4
dante_01_448147176351629312l,1,0,-2,-2,0,0,0,0,-1,0.667,0.0,0.667,0.667,3
dante_01_459413003994423296l,0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,0.667,3
dante_01_446746720337416193l,0,1,0,1,0,0,1,0,0,1.0,0.667,0.667,1.0,3
dante_01_468163177260523520l,0,0,0,1,0,0,0,0,0,1.0,0.667,1.0,1.0,3
dante_01_461200024635183104l,1,0,1,0,0,0,0,0,0,0.667,0.667,1.0,1.0,3
dante_01_442743632333123584l,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
dante_01_459316647241605121l,-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
dante_01_455723336879075328l,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.0,3
dante_01_449256807417257985l,-2,-2,-2,-2,0,0,-2,-2,-1,0.333,0.333,0.667,0.333,3
dante_01_451691747266297856l,1,0,1,0,1,0,0,0,0,1.0,1.0,0.667,1.0,3
dante_01_468732911655845888l,-2,-2,0,0,-2,-2,-1,-1,-1,0.333,0.667,0.333,0.667,3
dante_01_463775892947611648l,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
dante_01_461148734173483008l,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.0,0.0,0.0,0.0,3
dante_01_446988104323567616l,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
dante_01_469545567157485569l,0,0,0,0,0,1,0,0,0,1.0,0.667,0.667,0.667,3
dante_01_469935696380436481l,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
dante_01_445556435427287040l,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
dante_01_449169844643319808l,0,1,0,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
dante_01_449190258312507393l,-2,-2,-2,-2,0,0,0,0,-1,0.333,0.333,0.667,0.667,3
dante_01_472000340133699584l,0,0,0,0,0,1,0,0,0,0.667,1.0,0.667,1.0,3
dante_01_456481054434787328l,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
dante_01_448437735054139393l,-2,-2,0,0,1,0,-2,-2,-1,0.0,0.667,0.667,0.0,3
dante_01_441215300357586944l,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
dante_01_447013640026480640l,0,0,-2,-2,1,0,0,0,-1,0.667,0.333,0.667,0.667,3
dante_01_449325373382463488l,1,0,1,0,0,1,0,0,0,0.667,0.667,0.667,1.0,3
dante_01_445981947366744065l,-2,-2,-2,-2,-2,-2,0,0,-1,0.0,0.333,0.0,0.667,3
dante_01_451057586591506432l,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
dante_01_455856354897694720l,1,0,1,0,1,0,0,1,0,0.667,0.667,0.667,1.0,3
dante_01_456140272339279872l,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
dante_01_456846119000342528l,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
dante_01_446002116600299520l,0,0,-1,-1,-2,-2,-1,-1,-1,0.667,0.667,0.333,0.667,3
dante_01_455777023689256961l,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
dante_01_460788178345926657l,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
dante_01_441553962857025537l,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.0,3
dante_01_449372506143866880l,0,1,0,0,1,0,-2,-2,-1,0.667,0.667,0.667,0.0,3
dante_01_446002296842108928l,-2,-2,0,0,-1,-1,-2,-2,-1,0.333,0.667,0.667,0.333,3
dante_01_449658348586414080l,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
dante_01_456059375103537153l,0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
