ID_DSTOCKS,ID_TOKEN,TOKEN,POS
dante_01_441014389496619009l,1,#VALE5,X
dante_01_441014389496619009l,2,-,PUNCT
dante_01_441014389496619009l,3,Análise,PROPN
dante_01_441014389496619009l,4,#Ichimoku,PROPN
dante_01_441014389496619009l,5,-,PUNCT
dante_01_441014389496619009l,6,pregão,NOUN
dante_01_441014389496619009l,7,de,ADP
dante_01_441014389496619009l,8,sexta-feira,NOUN
dante_01_441014389496619009l,9,",",PUNCT
dante_01_441014389496619009l,10,28,NUM
dante_01_441014389496619009l,11,de,ADP
dante_01_441014389496619009l,12,fevereiro,NOUN
dante_01_441014389496619009l,13,.,PUNCT
dante_01_441014389496619009l,14,http://t.co/kEreB1xgU4,SYM
dante_01_441020223408578560l,1,#PETR4,X
dante_01_441020223408578560l,2,-,PUNCT
dante_01_441020223408578560l,3,Análise,PROPN
dante_01_441020223408578560l,4,#Ichimoku,PROPN
dante_01_441020223408578560l,5,-,PUNCT
dante_01_441020223408578560l,6,pregão,NOUN
dante_01_441020223408578560l,7,de,ADP
dante_01_441020223408578560l,8,sexta-feira,NOUN
dante_01_441020223408578560l,9,",",PUNCT
dante_01_441020223408578560l,10,28,NUM
dante_01_441020223408578560l,11,de,ADP
dante_01_441020223408578560l,12,fevereiro,NOUN
dante_01_441020223408578560l,13,.,PUNCT
dante_01_441020223408578560l,14,http://t.co/oAHK5pB3e0,SYM
dante_01_441028254942502912l,1,as,DET
dante_01_441028254942502912l,2,nuvens,PROPN
dante_01_441028254942502912l,3,de,ADP
dante_01_441028254942502912l,4,o,DET
dante_01_441028254942502912l,5,ichimoku,PROPN
dante_01_441028254942502912l,6,:,PUNCT
dante_01_441028254942502912l,7,PETR4,PROPN
dante_01_441028254942502912l,8,-,PUNCT
dante_01_441028254942502912l,9,pregão,NOUN
dante_01_441028254942502912l,10,de,ADP
dante_01_441028254942502912l,11,sexta-feira,NOUN
dante_01_441028254942502912l,12,",",PUNCT
dante_01_441028254942502912l,13,28,NUM
dante_01_441028254942502912l,14,de,ADP
dante_01_441028254942502912l,15,fevereiro,NOUN
dante_01_441028254942502912l,16,http://t.co/fZ3wAPf7An,SYM
dante_01_441030534467055617l,1,Em,ADP
dante_01_441030534467055617l,2,a,DET
dante_01_441030534467055617l,3,#PETR4,PROPN
dante_01_441030534467055617l,4,fizemos,VERB
dante_01_441030534467055617l,5,em,ADP
dante_01_441030534467055617l,6,a,DET
dante_01_441030534467055617l,7,sexta,NOUN
dante_01_441030534467055617l,8,passada,ADJ
dante_01_441030534467055617l,9,uma,DET
dante_01_441030534467055617l,10,Sub,NOUN
dante_01_441030534467055617l,11,Onda,X
dante_01_441030534467055617l,12,5,NUM
dante_01_441030534467055617l,13,de,ADP
dante_01_441030534467055617l,14,fundo,NOUN
dante_01_441030534467055617l,15,e,CCONJ
dante_01_441030534467055617l,16,em,ADP
dante_01_441030534467055617l,17,o,DET
dante_01_441030534467055617l,18,dia,NOUN
dante_01_441030534467055617l,19,05/02/14,NUM
dante_01_441030534467055617l,20,uma,DET
dante_01_441030534467055617l,21,Onda,NOUN
dante_01_441030534467055617l,22,3,NUM
dante_01_441030534467055617l,23,de,ADP
dante_01_441030534467055617l,24,fundo,NOUN
dante_01_441030534467055617l,25,alvos,NOUN
dante_01_441030534467055617l,26,"15,44",NUM
dante_01_441030534467055617l,27,"16,40",NUM
dante_01_441030534467055617l,28,http://t.co/5DPBQCulWr,SYM
dante_01_441032165967814656l,1,@PaiRico,PROPN
dante_01_441032165967814656l,2,@frfontanella,PROPN
dante_01_441032165967814656l,3,@eddu56,PROPN
dante_01_441032165967814656l,4,@TiagoBDS,PROPN
dante_01_441032165967814656l,5,Acabei,VERB
dante_01_441032165967814656l,6,de,ADP
dante_01_441032165967814656l,7,fazer,VERB
dante_01_441032165967814656l,8,análise,NOUN
dante_01_441032165967814656l,9,de,ADP
